task041: unsolved | no family fit
task227: unsolved | no family fit
task228: unsolved | no family fit
Error: Filesize 2509042 exceeds 1509949.44.
task229: unsolved | no family fit
task230: solved   | local_neighborhood 12.467pt
task231: unsolved | no family fit
task232: unsolved | no family fit
task233: unsolved | no family fit
task234: unsolved | no family fit
task235: unsolved | no family fit
task236: unsolved | no family fit
task237: unsolved | no family fit
task238: unsolved | no family fit
task239: unsolved | no family fit
task240: unsolved | no family fit
task241: unsolved | no family fit
task242: unsolved | no family fit
Error: Filesize 61991993 exceeds 1509949.44.
task243: unsolved | no family fit
task244: unsolved | no family fit
task245: unsolved | no family fit
task246: unsolved | no family fit
task247: unsolved | no family fit
task248: unsolved | no family fit
task249: unsolved | no family fit
task250: unsolved | no family fit
task251: unsolved | no family fit
task252: unsolved | no family fit
task253: unsolved | no family fit
task254: unsolved | no family fit
task255: unsolved | no family fit
task256: unsolved | no family fit
task257: unsolved | no family fit
task258: solved   | local_neighborhood 10.906pt
task259: unsolved | no family fit
task260: unsolved | no family fit
task261: solved   | local_neighborhood 9.848pt
task262: solved   | local_neighborhood 11.87pt
task263: unsolved | no family fit
task264: unsolved | no family fit
Error: Filesize 70781429 exceeds 1509949.44.
task265: unsolved | no family fit
task266: solved   | local_neighborhood 12.044pt
task267: unsolved | no family fit
task268: unsolved | no family fit
task269: unsolved | no family fit
task270: unsolved | no family fit
task271: unsolved | no family fit
task272: solved   | local_neighborhood 9.458pt
task273: unsolved | no family fit
task274: unsolved | no family fit
task275: unsolved | no family fit
task276: solved   | color_lut 20.395pt
task277: unsolved | no family fit
Error: Filesize 9284604 exceeds 1509949.44.
task278: unsolved | no family fit
task279: unsolved | no family fit
task280: unsolved | no family fit
task281: unsolved | no family fit
task282: solved   | local_neighborhood 12.578pt
task283: solved   | local_neighborhood 11.074pt
task284: unsolved | no family fit
task285: unsolved | no family fit
task286: unsolved | no family fit
task287: unsolved | no family fit
task288: unsolved | no family fit
task289: unsolved | no family fit
task290: unsolved | no family fit
task291: unsolved | no family fit
task292: unsolved | no family fit
task293: solved   | local_neighborhood 8.189pt
task294: solved   | local_neighborhood 11.087pt
task295: unsolved | no family fit
task296: unsolved | no family fit
task297: unsolved | no family fit
Error: Filesize 13409448 exceeds 1509949.44.
task298: unsolved | no family fit
task299: unsolved | no family fit
task300: unsolved | no family fit
task301: unsolved | no family fit
Error: Filesize 2522614 exceeds 1509949.44.
task302: unsolved | no family fit
task303: unsolved | no family fit
task304: unsolved | no family fit
task305: unsolved | no family fit
task306: unsolved | no family fit
task307: unsolved | no family fit
task308: unsolved | no family fit
task309: solved   | color_lut 20.395pt
task310: unsolved | no family fit
task311: unsolved | no family fit
task312: unsolved | no family fit
task313: unsolved | no family fit
task314: unsolved | no family fit
task315: unsolved | no family fit
task316: unsolved | no family fit
task317: solved   | local_neighborhood 12.578pt
task318: unsolved | no family fit
task319: unsolved | no family fit
task320: unsolved | no family fit
task321: unsolved | no family fit
Error: Filesize 2499646 exceeds 1509949.44.
task322: unsolved | no family fit
task323: unsolved | no family fit
task324: unsolved | no family fit
task325: unsolved | no family fit
task326: unsolved | no family fit
task327: unsolved | no family fit
task328: unsolved | no family fit
Error: Filesize 10558284 exceeds 1509949.44.
task329: unsolved | no family fit
task330: unsolved | no family fit
task331: solved   | local_neighborhood 12.027pt
task332: unsolved | no family fit
task333: unsolved | no family fit
task334: unsolved | no family fit
task335: unsolved | no family fit
task336: unsolved | no family fit
task337: solved   | color_permute 22.697pt
task338: unsolved | no family fit
task339: unsolved | no family fit
task340: unsolved | no family fit
task341: unsolved | no family fit
task342: unsolved | no family fit
task343: unsolved | no family fit
task344: solved   | local_neighborhood 8.749pt
task345: unsolved | no family fit
task346: unsolved | no family fit
task347: unsolved | no family fit
task348: unsolved | no family fit
task349: unsolved | no family fit
task350: unsolved | no family fit
task351: unsolved | no family fit
task352: solved   | local_neighborhood 9.75pt
task353: unsolved | no family fit
task354: unsolved | no family fit
task355: unsolved | no family fit
task356: unsolved | no family fit
task357: unsolved | no family fit
task358: unsolved | no family fit
Error: Filesize 55705025 exceeds 1509949.44.
task359: unsolved | no family fit
task360: unsolved | no family fit
task361: unsolved | no family fit
task362: unsolved | no family fit
task363: unsolved | no family fit
task364: unsolved | no family fit
task365: unsolved | no family fit
task366: unsolved | no family fit
task367: unsolved | no family fit
task368: unsolved | no family fit
Error: Filesize 22021407 exceeds 1509949.44.
task369: unsolved | no family fit
task370: unsolved | no family fit
task371: unsolved | no family fit
task372: unsolved | no family fit
task373: unsolved | no family fit
task374: unsolved | no family fit
task375: unsolved | no family fit
task376: unsolved | no family fit
task377: unsolved | no family fit
task378: unsolved | no family fit
task379: unsolved | no family fit
Error: Filesize 2509042 exceeds 1509949.44.
task380: unsolved | no family fit
task381: unsolved | no family fit
task382: unsolved | no family fit
task383: unsolved | no family fit
task384: unsolved | no family fit
task385: unsolved | no family fit
task386: unsolved | no family fit
task387: unsolved | no family fit
task388: unsolved | no family fit
Error: Filesize 4596000 exceeds 1509949.44.
task389: unsolved | no family fit
task390: unsolved | no family fit
task391: unsolved | no family fit
task392: unsolved | no family fit
task393: unsolved | no family fit
task394: unsolved | no family fit
task395: unsolved | no family fit
task396: unsolved | no family fit
task397: unsolved | no family fit
task398: unsolved | no family fit
task399: unsolved | no family fit
task400: unsolved | no family fit
